expo,table,project,sponsors,link,category,special
1,28,eBay's Clutterkit,"[eBay] Best Hack Using eBay APIs, [Domain.com/MLH] Best Domain Registered with Domain.com, Best ML/AI hack, Best Mobile Hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114362-ebay-s-clutterkit,,
1,31,Hohmann Transfer Calculator,"Best Education Hack, Most Aesthetic/Well-Designed Hack",https://hacktech2019.devpost.com/submissions/114378-hohmann-transfer-calculator,,
1,71,Mariposa,"Most Aesthetic/Well-Designed Hack, Best Game/Entertainment Hack, Best Mobile Hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114381-mariposa,,
1,5,eBayify,"[eBay] Best Hack Using eBay APIs, Best Potato Hack, Most Aesthetic/Well-Designed Hack, Best ML/AI hack",https://hacktech2019.devpost.com/submissions/114389-ebayify,,
1,27,Interactive Course Planner,"Best Education Hack, Best Potato Hack, Most Aesthetic/Well-Designed Hack, Best Social Good Hack, [Domain.com/MLH] Best Domain Registered with Domain.com",https://hacktech2019.devpost.com/submissions/114390-interactive-course-planner,,
1,16,Sprout,"[Uber] Best Hack that Acts on the Physical World, Best Education Hack, Best Potato Hack, Most Aesthetic/Well-Designed Hack, Best Social Good Hack, Best ML/AI hack, Best Mobile Hack",https://hacktech2019.devpost.com/submissions/114414-sprout,,
1,47,ExplainYourHeart,"Best Potato Hack, Best Social Good Hack, [Domain.com/MLH] Best Domain Registered with Domain.com, Best ML/AI hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114424-explainyourheart,,
1,52,MarketPeel,"Best Potato Hack, [Domain.com/MLH] Best Domain Registered with Domain.com",https://hacktech2019.devpost.com/submissions/114425-marketpeel,,
1,6,Spud Cannon,"[eBay] Best Hack Using eBay APIs, Best Potato Hack",https://hacktech2019.devpost.com/submissions/114434-spud-cannon,,
1,70,Wreck-It Retail,"[eBay] Best Hack Using eBay APIs, Best Hardware Hack, Best Potato Hack, Most Aesthetic/Well-Designed Hack, Best Game/Entertainment Hack",https://hacktech2019.devpost.com/submissions/114437-wreck-it-retail,,
1,34,Auvis,"Best Potato Hack, Most Aesthetic/Well-Designed Hack, Best Game/Entertainment Hack",https://hacktech2019.devpost.com/submissions/114447-auvis,,
1,17,SuperPose,"[eBay] Best Hack Using eBay APIs, [Uber] Best Hack that Acts on the Physical World, Best Education Hack, Best Potato Hack, Most Aesthetic/Well-Designed Hack, Best Social Good Hack, [Domain.com/MLH] Best Domain Registered with Domain.com, Best ML/AI hack, Best Game/Entertainment Hack, Best Mobile Hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114449-superpose,,
1,22,Senter,"[Uber] Best Hack that Acts on the Physical World, Best Education Hack, Most Aesthetic/Well-Designed Hack, Best Social Good Hack, Best ML/AI hack",https://hacktech2019.devpost.com/submissions/114453-senter,,
1,45,Kinect The Hedgehog,"Best Hardware Hack, Best Potato Hack, Most Aesthetic/Well-Designed Hack, Best Game/Entertainment Hack",https://hacktech2019.devpost.com/submissions/114463-kinect-the-hedgehog,,
1,81,Packsy,[Google Cloud Platform/MLH] Best use of Google Cloud Platform,https://hacktech2019.devpost.com/submissions/114464-packsy,,
1,20,Job Chase,"Best Potato Hack, Best Game/Entertainment Hack",https://hacktech2019.devpost.com/submissions/114473-job-chase,,
1,40,Utinerary,[Uber] Best Hack that Acts on the Physical World,https://hacktech2019.devpost.com/submissions/114484-utinerary,,
1,35,QueueR,"Best Potato Hack, Best Social Good Hack, Best Mobile Hack",https://hacktech2019.devpost.com/submissions/114485-queuer,,
1,63,Presentr,"Best Education Hack, Best Social Good Hack, Best ML/AI hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114490-presentr,,
